Date,Country,Confirmed,Deaths,Recovered
3/17/2020,Afghanistan,21,0,1
3/18/2020,Afghanistan,22,0,1
3/17/2020,Albania,55,1,0
3/18/2020,Albania,59,2,0
3/17/2020,Algeria,61,5,10
3/18/2020,Algeria,75,7,32
3/17/2020,Andorra,14,0,0
3/18/2020,Andorra,53,0,1
3/17/2020,Antigua and Barbuda,1,0,0
3/18/2020,Antigua and Barbuda,1,0,0
3/17/2020,Argentina,79,2,3
3/18/2020,Argentina,79,2,3
3/17/2020,Armenia,72,0,1
3/18/2020,Armenia,110,0,1
3/17/2020,Australia,452,5,27
3/18/2020,Australia,565,6,43
3/17/2020,Austria,"1,332",3,9
3/18/2020,Austria,"1,646",4,9
3/17/2020,Azerbaijan,34,1,6
3/18/2020,Azerbaijan,34,1,10
3/17/2020,Bahamas,1,0,0
3/18/2020,Bahamas,1,0,0
3/17/2020,Bahrain,242,1,88
3/18/2020,Bahrain,256,1,95
3/17/2020,Bangladesh,8,0,3
3/18/2020,Bangladesh,14,1,3
3/17/2020,Barbados,2,0,0
3/18/2020,Barbados,2,0,0
3/17/2020,Belarus,36,0,3
3/18/2020,Belarus,51,0,5
3/17/2020,Belgium,"1,243",10,14
3/18/2020,Belgium,"1,486",14,31
3/17/2020,Benin,1,0,0
3/18/2020,Benin,2,0,0
3/17/2020,Bhutan,1,0,0
3/18/2020,Bhutan,1,0,0
3/17/2020,Bolivia,12,0,0
3/18/2020,Bolivia,12,0,0
3/17/2020,Bosnia and Herzegovina,34,0,2
3/18/2020,Bosnia and Herzegovina,39,0,2
3/17/2020,Brazil,346,1,2
3/18/2020,Brazil,509,4,2
3/17/2020,Brunei,56,0,0
3/18/2020,Brunei,68,0,0
3/17/2020,Bulgaria,81,2,0
3/18/2020,Bulgaria,92,2,0
3/17/2020,Burkina Faso,15,0,0
3/18/2020,Burkina Faso,20,1,0
3/17/2020,Cambodia,33,0,1
3/18/2020,Cambodia,37,0,1
3/17/2020,Cameroon,10,0,0
3/18/2020,Cameroon,13,0,0
3/17/2020,Canada,598,8,11
3/18/2020,Canada,727,9,12
3/17/2020,Central African Republic,1,0,0
